         9627 function calls (9460 primitive calls) in 1.214 seconds

   Ordered by: cumulative time, call count
   List reduced from 568 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.934    0.934 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/io/parsers/readers.py:868(read_csv)
        1    0.004    0.004    0.933    0.933 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/io/parsers/readers.py:583(_read)
        1    0.000    0.000    0.927    0.927 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/io/parsers/readers.py:1907(read)
        1    0.772    0.772    0.829    0.829 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/io/parsers/c_parser_wrapper.py:222(read)
        2    0.000    0.000    0.129    0.064 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/tools/datetimes.py:673(to_datetime)
        2    0.000    0.000    0.125    0.063 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/tools/datetimes.py:314(_convert_listlike_datetimes)
        2    0.117    0.059    0.118    0.059 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/tools/datetimes.py:456(_array_strptime_with_fallback)
        1    0.000    0.000    0.098    0.098 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/frame.py:694(__init__)
        1    0.000    0.000    0.097    0.097 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/internals/construction.py:423(dict_to_mgr)
        1    0.004    0.004    0.096    0.096 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/internals/construction.py:96(arrays_to_mgr)
        1    0.000    0.000    0.091    0.091 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/internals/managers.py:2121(create_block_manager_from_column_arrays)
        3    0.000    0.000    0.070    0.023 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/internals/managers.py:1782(_consolidate_inplace)
        1    0.000    0.000    0.070    0.070 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/internals/managers.py:2259(_consolidate)
        2    0.031    0.016    0.070    0.035 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/internals/managers.py:2276(_merge_blocks)
        7    0.000    0.000    0.061    0.009 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/series.py:6551(median)
        7    0.000    0.000    0.061    0.009 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/generic.py:12424(median)
