         17926 function calls (17396 primitive calls) in 0.569 seconds

   Ordered by: cumulative time, call count
   List reduced from 774 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.429    0.429 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/io/parsers/readers.py:868(read_csv)
        1    0.007    0.007    0.429    0.429 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/io/parsers/readers.py:583(_read)
        1    0.000    0.000    0.420    0.420 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/io/parsers/readers.py:1907(read)
        1    0.319    0.319    0.354    0.354 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/io/parsers/c_parser_wrapper.py:222(read)
        2    0.000    0.000    0.069    0.035 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/tools/datetimes.py:673(to_datetime)
        2    0.000    0.000    0.067    0.034 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/tools/datetimes.py:314(_convert_listlike_datetimes)
        1    0.000    0.000    0.066    0.066 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/frame.py:694(__init__)
        1    0.000    0.000    0.066    0.066 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/internals/construction.py:423(dict_to_mgr)
        1    0.002    0.002    0.065    0.065 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/internals/construction.py:96(arrays_to_mgr)
        1    0.000    0.000    0.058    0.058 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/internals/managers.py:2121(create_block_manager_from_column_arrays)
        2    0.048    0.024    0.049    0.025 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/tools/datetimes.py:456(_array_strptime_with_fallback)
        5    0.000    0.000    0.045    0.009 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/internals/managers.py:1782(_consolidate_inplace)
        3    0.000    0.000    0.045    0.015 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/internals/managers.py:2259(_consolidate)
        6    0.029    0.005    0.043    0.007 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/internals/managers.py:2276(_merge_blocks)
        1    0.004    0.004    0.033    0.033 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/io/parsers/c_parser_wrapper.py:355(_concatenate_chunks)
       11    0.029    0.003    0.029    0.003 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/dtypes/concat.py:52(concat_compat)
        7    0.000    0.000    0.019    0.003 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/series.py:6551(median)
        7    0.000    0.000    0.019    0.003 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/generic.py:12424(median)
        7    0.000    0.000    0.019    0.003 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/generic.py:12362(_stat_function)
        8    0.000    0.000    0.019    0.002 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/series.py:6418(_reduce)
        7    0.000    0.000    0.019    0.003 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/nanops.py:111(f)
        7    0.000    0.000    0.019    0.003 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/nanops.py:736(nanmedian)
        2    0.005    0.002    0.018    0.009 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/tools/datetimes.py:126(_guess_datetime_format_for_array)
        9    0.000    0.000    0.017    0.002 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/frame.py:4271(__setitem__)
        7    0.001    0.000    0.017    0.002 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/nanops.py:765(get_median)
        9    0.000    0.000    0.016    0.002 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/frame.py:4514(_set_item)
        9    0.000    0.000    0.015    0.002 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/frame.py:4481(_set_item_mgr)
        1    0.000    0.000    0.015    0.015 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/internals/managers.py:2190(_form_blocks)
        7    0.000    0.000    0.014    0.002 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/numpy/lib/_nanfunctions_impl.py:1127(nanmedian)
      338    0.000    0.000    0.014    0.000 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/__init__.py:330(_compile)
        4    0.014    0.003    0.014    0.004 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/internals/managers.py:2246(_stack_arrays)
     14/7    0.000    0.000    0.014    0.002 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/numpy/lib/_function_base_impl.py:3834(_ureduce)
        7    0.000    0.000    0.014    0.002 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/numpy/lib/_nanfunctions_impl.py:1076(_nanmedian)
        7    0.000    0.000    0.014    0.002 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/numpy/lib/_nanfunctions_impl.py:1059(_nanmedian1d)
        7    0.000    0.000    0.014    0.002 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/numpy/lib/_function_base_impl.py:3916(median)
        5    0.000    0.000    0.014    0.003 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/_compiler.py:743(compile)
        7    0.000    0.000    0.013    0.002 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/numpy/lib/_function_base_impl.py:4005(_median)
        4    0.013    0.003    0.013    0.003 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/numpy/_core/shape_base.py:220(vstack)
       14    0.000    0.000    0.013    0.001 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/__init__.py:287(compile)
        1    0.000    0.000    0.013    0.013 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/frame.py:10813(merge)
        1    0.000    0.000    0.013    0.013 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/reshape/merge.py:135(merge)
        1    0.000    0.000    0.013    0.013 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/reshape/merge.py:882(get_result)
        2    0.000    0.000    0.012    0.006 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/internals/managers.py:1347(insert)
        7    0.000    0.000    0.012    0.002 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:758(partition)
        5    0.000    0.000    0.012    0.002 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/_parser.py:970(parse)
     21/5    0.000    0.000    0.012    0.002 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/_parser.py:451(_parse_sub)
    38/10    0.006    0.000    0.012    0.001 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/_parser.py:511(_parse)
        7    0.012    0.002    0.012    0.002 {method 'partition' of 'numpy.ndarray' objects}
